Skill_Id,Skillset
1547,mircosoft azure
1548,javaserver pages (jsp)
1549,websphere mq
1550,rest service
1551,value-added services (vas)
1552,technical account management
1553,system deployment
1554,smsc
1555,smpp
1556,ussd
1557,business process management
1558,etom
1559,telecommunication services
1560,application development
1561,j2ee
1562,intellij idea
1563,postman
1564,zuul
1565,svn
1566,mockito
1567,sts
1568,ribbons
1569,eureka
1570,load balancing
1571,cloudera impala
1572,digital signal processing
1573,video editing
1574,search engine marketing (sem)
1575,sme
1576,food photography
1577,spring  core
1578,aws elastic beanstalk
1579,entity framework (ef) core
1580,java2se
1581,basics of entity framework
1582,mstest
1583,spreken in het openbaar
1584,engelse taal
1585,adb
1586,vrealize orchestrator
1587,vrealize automation
1588,ui/ux designer
1589,wireframing
1590,rapid prototyping
1591,ui designer
1592,interaction design
1593,user-centered design
1594,product design
1595,adobe dreamweaver
1596,adobe flash
1597,prototyping
1598,greensock
1599,ux research
1600,mobile design
1601,2g
1602,orchestration
1603,project implementation
1604,software implementation
1605,selinum
1606,angular7
1607,straight talk
1608,asp.net razor
1609,java script
1610,sqlserver
1611,kendo
1612,web services api
1613,javase
1614,spring batch
1615,angular 10
1616,ext js
1617,j2ee application development
1618,oracle fusion middleware
1619,osb
1620,quick learner
1621,hardworking
1622,punctual
1623,black box testing
1624,smoke testing
1625,test estimation
1626,test scenarios
1627,negative testing
1,Skills not available
